Test Name,Test ID,Parameter Name,Unit,Ref Range Low,Ref Range High,Critical Low,Critical High
ACE (ANGIOTENSIN CONVERTING ENZYME),T022,ACE,U/L,9.0,67.0,,
ADENOSINE DEAMINASE (ADA) SERUM,T088,ADA,U/L,0.0,24.0,,
ALDOSTERONE,T023,Aldosterone (Upright),ng/dl,7.0,30.0,,
ALDOSTERONE,T023,Aldosterone (Supine),ng/dl,3.0,16.0,,
ALDOSTERONE & PLASMA RENIN RATIO,T024,Aldosterone (Plasma),ng/dL,3.0,30.0,,
ALDOSTERONE & PLASMA RENIN RATIO,T024,Plasma Renin Activity (PRA),ng/dL,0.2,2.8,,
ALDOSTERONE & PLASMA RENIN RATIO,T024,Aldosterone-to-Renin Ratio (ARR),,,30.0,,
ALKALINE PHOSPHATASE (ALP),T026,ALP,U/L,40.0,129.0,,
AMMONIA,T027,AMMONIA,g/dl,15.0,70.0,,
ANA IGG TEST REPORT,T029,ANA IGG,AU/mL,,20.0,,
ANTI CARDIOLIPIN ANTIBODY - IGM,T030,ANTI CARDIOLIPIN ANTIBODY - IGM,MPL/ml,,12.0,,
ANTI CARDIOLIPIN ANTIBODY IGM,T031,Anti Cardiolipin Antibody IgM,MPL/ml,,12.0,,
ANTI HEV IGM (ELISA),T033,ANTI HEV IgM,S/Co,,1.0,,
ANTI MULLERIAN HORMONE (AMH),T034,ANTI MULLERIAN HORMONE (AMH),ng/ml,0.32,6.8,,
ANTI PHOSPHOLIPID ANTIBODIES (IGG & IGM),T035,Immunoglobulin G (IgG),U/ml,,12.0,,
ANTI PHOSPHOLIPID ANTIBODIES (IGG & IGM),T035,Immunoglobulin M (IgM),U/ml,,12.0,,
"ANTI STREPTOLYSIN O (ASO), QUANTITATIVE",T036,ASO,IU/ML,,200.0,,
ANTI-LKM ANTIBODY TEST REPORT,T037,Anti-LKM Antibody,AU/mL,,20.0,,
ANTI-NUCLEAR ANTIBODY (ANA) IFA,T038,Anti-Nuclear Antibody (ANA),unit,,20.0,,
ANTI-NUCLEAR ANTIBODY (ANA) IFA,T038,ANA Pattern,,,,,
ANTI-NUCLEAR ANTIBODY (ANA) IFA,T038,Primary Dilution,,,,,
ANTI-NUCLEAR ANTIBODY (ANA) IFA,T038,Primary Intensity,,,,,
ANTI-NUCLEAR ANTIBODY (ANA) IFA,T038,End-Point Titer,,,,,
ANTI-SMOOTH MUSCLE ANTIBODY (SMA) TEST REPORT,T039,SMA,AU/mL,,20.0,,
APTT,T040,Test,sec,28.0,35.0,,
APTT,T040,Control,sec,,,,
ARTERIAL BLOOD GAS (ABG) REPORT,T041,pH,unit,7.35,7.45,,
ARTERIAL BLOOD GAS (ABG) REPORT,T041,PaCO2,mmHg,35.0,45.0,,
ARTERIAL BLOOD GAS (ABG) REPORT,T041,PO2,mmHg,80.0,100.0,,
ARTERIAL BLOOD GAS (ABG) REPORT,T041,HCO3 ACT,mmol/L,,,,
ARTERIAL BLOOD GAS (ABG) REPORT,T041,BE(B),mmol/L,,,,
ARTERIAL BLOOD GAS (ABG) REPORT,T041,O2 SAT,%,,,,
ARTERIAL BLOOD GAS (ABG) REPORT,T041,CT CO2,mmol/L,,,,
ARTERIAL BLOOD GASES (ABG),T042,pH,-,7.35,7.45,,
ARTERIAL BLOOD GASES (ABG),T042,PCO2,mmHg,35.0,45.0,,
ARTERIAL BLOOD GASES (ABG),T042,PO2,mmHg,80.0,100.0,,
ARTERIAL BLOOD GASES (ABG),T042,HCO3,mmHg,,,,
ARTERIAL BLOOD GASES (ABG),T042,BE(B),mmHg,,,,
ARTERIAL BLOOD GASES (ABG),T042,O2 SAT,%,,,,
ARTERIAL BLOOD GASES (ABG),T042,Ct CO2,mmHg,,,,
ASCITIC FLUID ANALYSIS,T043,Volume,mL,,,,
ASCITIC FLUID ANALYSIS,T043,Protein,g/dL,0.0,2.5,,
ASCITIC FLUID ANALYSIS,T043,Sugar,mg/dL,,,,
ASCITIC FLUID ANALYSIS,T043,Total Cell Count,/μL,0.0,500.0,,
ASCITIC FLUID ANALYSIS,T043,Neutrophil,%,,,,
ASCITIC FLUID ANALYSIS,T043,Lymphocyte,%,,,,
ASCITIC FLUID ANALYSIS,T043,Eosinophil,%,,,,
ASCITIC FLUID ANALYSIS,T043,Macrophages + Mesothelial,%,,,,
ASCITIC FLUID ANALYSIS,T043,Colour,,,,,
ASCITIC FLUID ANALYSIS,T043,Appearance,,,,,
ASCITIC FLUID ANALYSIS,T043,Clot,,,,,
ASCITIC FLUID ANALYSIS,T043,Abnormal Cells,,,,,
ASCITIC FLUID ANALYSIS,T043,RBC,,,,,
BETA HCG,T044,BETA HCG,mIU/mL,,5.0,,
BICARBONATE SERUM TEST,T045,Bicarbonate,mmol/L,23.0,33.0,,
BLEEDING TIME (BT) & CLOTTING TIME (CT),T049,Bleeding Time,min,1.0,4.0,,
BLEEDING TIME (BT) & CLOTTING TIME (CT),T049,Clotting Time,min,5.0,9.0,,
BLOOD CULTURE AND SENSITIVITY,T050,Sample,,,,,
BLOOD CULTURE AND SENSITIVITY,T050,Gram Staining,,,,,
BLOOD CULTURE AND SENSITIVITY,T050,Organisms Isolated,,,,,
BLOOD CULTURE AND SENSITIVITY,T050,Colony Count,,,,,
BLOOD CULTURE AND SENSITIVITY,T050,Report,,,,,
BLOOD CULTURE AND SENSITIVITY,T050,Amikacin,,,,,
BLOOD CULTURE AND SENSITIVITY,T050,Augmentin,,,,,
BLOOD CULTURE AND SENSITIVITY,T050,Ampicillin,,,,,
BLOOD CULTURE AND SENSITIVITY,T050,Cefoperazone,,,,,
BLOOD CULTURE AND SENSITIVITY,T050,Cefotaxime,,,,,
BLOOD CULTURE AND SENSITIVITY,T050,Cefuroxime,,,,,
BLOOD CULTURE AND SENSITIVITY,T050,Ceftazidime,,,,,
BLOOD CULTURE AND SENSITIVITY,T050,Ceftizoxime,,,,,
BLOOD CULTURE AND SENSITIVITY,T050,Ceftriaxone,,,,,
BLOOD CULTURE AND SENSITIVITY,T050,Co-trimoxazole,,,,,
BLOOD CULTURE AND SENSITIVITY,T050,Gentamycin,,,,,
BLOOD CULTURE AND SENSITIVITY,T050,Netilmycin,,,,,
BLOOD CULTURE AND SENSITIVITY,T050,Cefazolin,,,,,
BLOOD CULTURE AND SENSITIVITY,T050,Cefdinir,,,,,
BLOOD CULTURE AND SENSITIVITY,T050,Ciprofloxacin,,,,,
BLOOD CULTURE AND SENSITIVITY,T050,Azithromycin,,,,,
BLOOD CULTURE AND SENSITIVITY,T050,Linezolid,,,,,
BLOOD CULTURE AND SENSITIVITY,T050,Oxacillin,,,,,
BLOOD CULTURE AND SENSITIVITY,T050,Tetracycline,,,,,
BLOOD CULTURE AND SENSITIVITY,T050,Vancomycin,,,,,
BLOOD CULTURE AND SENSITIVITY,T050,Teicoplanin,,,,,
BLOOD CULTURE AND SENSITIVITY,T050,Doxycycline,,,,,
BLOOD CULTURE AND SENSITIVITY,T050,Moxifloxacin,,,,,
BLOOD CULTURE AND SENSITIVITY,T050,Cefpodoxime,,,,,
BLOOD CULTURE AND SENSITIVITY,T050,Chloramphenicol,,,,,
BLOOD CULTURE AND SENSITIVITY,T050,Colistin,,,,,
BLOOD CULTURE AND SENSITIVITY,T050,Imipenem,,,,,
BLOOD CULTURE AND SENSITIVITY,T050,Levofloxacin,,,,,
BLOOD CULTURE AND SENSITIVITY,T050,Ofloxacin,,,,,
BLOOD CULTURE AND SENSITIVITY,T050,Piperacillin,,,,,
BLOOD CULTURE AND SENSITIVITY,T050,Tobramycin,,,,,
BLOOD CULTURE AND SENSITIVITY,T050,Meropenem,,,,,
BLOOD CULTURE AND SENSITIVITY,T050,Carbenicillin,,,,,
BLOOD CULTURE AND SENSITIVITY,T050,1st Interim Report,,,,,
BLOOD CULTURE AND SENSITIVITY,T050,2nd Interim Report,,,,,
BLOOD GLUCOSE - (AFTER 75 GMS OF GLUCOSE),T051,Blood Glucose (After 75g Glucose),mg/dl,70.0,140.0,,
BLOOD GLUCOSE - PG (1 HR AFTER 75 GMS OF GLUCOSE),T052,Blood Glucose PG (1hr After 75g Glucose),mg/dl,70.0,155.0,,
BLOOD GLUCOSE - PG (3 HR AFTER 75 GMS OF GLUCOSE),T053,Blood Glucose PG (3hr After 75g Glucose),mg/dl,70.0,155.0,,
BLOOD GLUCOSE - PG (2 HRS AFTER 100 GMS OF GLUCOSE),T054,Blood Glucose PG (2hrs After 100g Glucose),mg/dl,70.0,155.0,,
BLOOD GLUCOSE - PG (2 HRS AFTER 75 GMS OF GLUCOSE),T055,Blood Glucose PG (2hrs After 75g Glucose),mg/dl,70.0,140.0,,
BLOOD GLUCOSE - PRE DINNER,T056,Blood Glucose Pre Dinner,mg/dl,,120.0,,
BLOOD GLUCOSE FASTING,T057,Blood Glucose (Fasting),mg/dl,60.0,110.0,,
BLOOD GLUCOSE FASTING,T057,Urine Sugar (Optional),,,,,
BLOOD GLUCOSE FASTING,T057,Urine Ketones (Optional),,,,,
BLOOD GLUCOSE LEVEL (PG AFTER 1 HR),T058,Blood Glucose (PG After 1hr),mg/dl,70.0,180.0,,
BLOOD GLUCOSE LEVEL (PG AFTER 1 HR),T058,Urine Sugar,,,,,
BLOOD GLUCOSE LEVEL (PG AFTER 1 HR),T058,Urine Ketones,,,,,
BLOOD GLUCOSE LEVEL (PG AFTER 2 HR),T059,Blood Glucose (PG After 2hr),mg/dL,70.0,140.0,,
BLOOD GLUCOSE LEVEL (PG AFTER 2 HR),T059,Urine Sugar,,,,,
BLOOD GLUCOSE LEVEL (PG AFTER 2 HR),T059,Urine Ketones,,,,,
BLOOD GLUCOSE LEVEL (PG AFTER 3 HR),T060,Blood Glucose (PG After 3hr),mg/dl,70.0,140.0,,
BLOOD GLUCOSE LEVEL (PG AFTER 3 HR),T060,Urine Sugar,,,,,
BLOOD GLUCOSE LEVEL (PG AFTER 3 HR),T060,Urine Ketones,,,,,
BLOOD GLUCOSE LEVEL - PP (POST PRANDIAL),T061,Result,mg/dl,,145.0,,
BLOOD GLUCOSE LEVEL - PP (POST PRANDIAL),T061,Urine Sugar,,,,,
BLOOD GLUCOSE LEVEL - PP (POST PRANDIAL),T061,Urine Ketones,,,,,
BLOOD UREA LEVEL (BUL),T066,Blood Urea Level,mg/dl,12.6,42.6,,
BRUCELLA ANTIBODY IGM,T068,Immunoglobulin M (IgM),,,1.0,,
C-PEPTIDE TEST,,C-Peptide,ng/mL,0.81,3.85,,
CA-125 (OVARIAN CANCER MARKER),T069,CA-125,U/mL,0.0,35.0,,
CA 19.9,T070,CA 19.9,U/mL,,37.0,,
ECG,,ECG,Unit,,,,
"EGFR (GLOMERULAR FILTRATION RATE, ESTIMATED)",T105,"Creatinine, Serum",mg/dL,0.67,1.17,,
"EGFR (GLOMERULAR FILTRATION RATE, ESTIMATED)",T105,"GFR, Estimated",mL/min/1.73m2,90.0,120.0,,
EPSTEIN BARR VIRUS (VCA) - IGM ANTIBODIES,T107,EBV (VCA) IGM,U/mL,,20.0,,
ESTRADIOL (E2),T109,Estradiol (E2),pg/ml,0.0,52.0,,
ET CULTURE,T110,Gram Stain,,,,,
ET CULTURE,T110,Pus Cell,,,,,
ET CULTURE,T110,Epithelial Cells,,,,,
ET CULTURE,T110,Growth Observed,,,,,
ET CULTURE,T110,Organism Isolated,,,,,
ET CULTURE,T110,Colony Count,,,,,
ET CULTURE,T110,Amikacin,,,,,
ET CULTURE,T110,Ceftriaxone,,,,,
ET CULTURE,T110,Ciprofloxacin,,,,,
ET CULTURE,T110,Gentamicin,,,,,
ET CULTURE,T110,Meropenem,,,,,
ET CULTURE,T110,Piperacillin-Tazobactam,,,,,
ET CULTURE,T110,Cefazolin,,,,,
ET CULTURE,T110,Cefotaxime,,,,,
ET CULTURE,T110,Ceftazidime,,,,,
ET CULTURE,T110,Cefepime,,,,,
ET CULTURE,T110,Imipenem,,,,,
ET CULTURE,T110,Ertapenem,,,,,
FACTOR 8 TEST,T111,Factor VIII Activity (FVIII:C),%,50.0,150.0,,
FACTOR 9 TEST,T112,Factor IX Activity,%,70.0,120.0,,
FERRITIN TEST,T113,Ferritin,ng/ml,22.0,322.0,,
FERTILITY PROFILE III,T114,FSH,mIU/mL,1.9,12.5,,
FERTILITY PROFILE III,T114,LH,mIU/mL,1.9,12.5,,
FERTILITY PROFILE III,T114,Prolactin,ng/mL,2.8,29.2,,
FERTILITY PROFILE III,T114,Estradiol (E2),pg/mL,25.0,75.0,,
FERTILITY PROFILE III,T114,TSH,μIU/ml,0.35,5.5,,
FERTILITY PROFILE III,T114,AMH,ng/ml,0.32,6.8,,
FIBRINOGEN LEVEL,T115,Fibrinogen Level,mg/dL,200.0,400.0,,
FILARIA ANTIBODY DETECTION,T116,Filaria Antibody Detection,,,,,
FINE NEEDLE ASPIRATION CYTOLOGY (FNAC),T117,Specimen,,,,,
FINE NEEDLE ASPIRATION CYTOLOGY (FNAC),T117,Microscopy,,,,,
FINE NEEDLE ASPIRATION CYTOLOGY (FNAC),T117,Impression,,,,,
FINE NEEDLE ASPIRATION CYTOLOGY (FNAC) 2,T118,Specimen Type,,,,,
FINE NEEDLE ASPIRATION CYTOLOGY (FNAC) 2,T118,Descriptive Interpretation,,,,,
FINE NEEDLE ASPIRATION CYTOLOGY (FNAC) 2,T118,Impression,,,,,
FLUID CYTOLOGY,T119,Gross,Unit,,,,
FLUID CYTOLOGY,T119,Microscopy,,,,,
FLUID CYTOLOGY,T119,Impression,,,,,
FLUID FOR ADA,T120,ADA Level,U/L,,40.0,,
FLUID FOR ADA,T120,Total Protein,g/dL,,2.5,,
FLUID FOR ADA,T120,Cell Count,cells/mm³,0.0,100.0,,
FLUID FOR ADA,T120,Lactate Dehydrogenase (LDH),IU/L,,200.0,,
FLUID FOR ADA,T120,Appearance,,,,,
FLUID FOR ADA,T120,Fluid Type,,,,,
FOLIC ACID,T121,Folic Acid,ng/mL,3.0,17.0,,
FOLLICLE STIMULATING HORMONE (FSH),T122,FSH,mIU/ml,2.5,10.2,,
FREE PSA,T123,Free PSA,ng/mL,0.0,5.0,,
FREE T3 (TRI-IODOTHYRONINE - FREE),T124,Free T3,ng/dl,2.5,3.9,,
FREE T3 (FT3),T125,FT3,pg/mL,2.3,4.2,,
FREE T4 (FT4),T126,FT4,ng/L,8.9,17.6,,
FREE T4 (THYROXINE - FREE),T127,Free T4,ng/dl,0.61,1.12,,
FREE THYROID PANEL,T128,TSH,μIU/ml,0.34,5.6,,
FREE THYROID PROFILE,T129,Free T3,ng/dl,2.5,3.9,,
FREE THYROID PROFILE,T129,Free T4,ng/dl,0.61,1.12,,
FREE THYROID PROFILE,T129,TSH,μIU/ml,0.34,5.6,,
FSH / LH / PRL,T130,Follicle Stimulating Hormone (FSH),mIU/ml,2.5,10.2,,
FSH / LH / PRL,T130,Luteinising Hormone (LH),mIU/ml,1.9,12.5,,
FSH / LH / PRL,T130,Prolactin (PRL),ng/mL,3.34,26.71,,
FUNGUS ROUTINE EXAMINATION,T131,Result/Grade,Grade,,,,
FUNGUS ROUTINE EXAMINATION,T131,Yeast Cells,Grade,,,,
FUNGUS ROUTINE EXAMINATION,T131,Pseudohyphae,Grade,,,,
FUNGUS ROUTINE EXAMINATION,T131,Fungal Spores,Grade,,,,
FUNGUS ROUTINE EXAMINATION,T131,Fungal Hyphae,Grade,,,,
FUNGUS ROUTINE EXAMINATION,T131,Others,Grade,,,,
GBP TEST,T133,Fasting Blood Glucose,mg/dL,70.0,100.0,,
GBP TEST,T133,Postprandial Blood Glucose,mg/dL,70.0,140.0,,
GBP TEST,T133,Random Blood Glucose,mg/dL,70.0,140.0,,
GBP TEST,T133,HbA1c (Glycated Hemoglobin),%,4.0,5.6,,
GBP TEST REPORT,T134,RBC Morphology,,,,,
GBP TEST REPORT,T134,WBC Count,,,,,
GBP TEST REPORT,T134,Platelet Count,,,,,
GBP TEST REPORT,T134,Abnormal Cells,,,,,
GBP TEST REPORT,T134,Hemoparasites,,,,,
GENERAL BLOOD PICTURE,T135,WBC Total Count,g/dL,4.0,11.0,,
GENERAL BLOOD PICTURE,T135,WBC Abnormal Findings,,,,,
GENERAL BLOOD PICTURE,T135,RBC Count,10^6/uL,3.8,4.8,,
GENERAL BLOOD PICTURE,T135,RBC Shape,,,,,
GENERAL BLOOD PICTURE,T135,RBC Size,,,,,
GENERAL BLOOD PICTURE,T135,RBC Color,,,,,
GENERAL BLOOD PICTURE,T135,RBC Inclusions,,,,,
GENERAL BLOOD PICTURE,T135,RBC Abnormal Findings,,,,,
GENERAL BLOOD PICTURE,T135,Platelet Count,10^3/uL,150.0,450.0,,
GENERAL BLOOD PICTURE,T135,Platelet Morphology,,,,,
GFRE (GLOMERULAR FILTRATION RATE - ESTIMATED),T136,"Creatinine, Serum",mg/dL,0.67,1.17,,
GFRE (GLOMERULAR FILTRATION RATE - ESTIMATED),T136,"GFR, Estimated",mL/min/1.73m2,90.0,,,
GLUCOSE 6 PHOSPHATE DEHYDROGENASE (G6PD QUANTITATIVE),T137,G6PD Activity,U/g Hb,5.0,12.0,,
GLUCOSE 6 PHOSPHATE DEHYDROGENASE (G6PD QUANTITATIVE),T137,Hemoglobin Level,g/dL,13.0,17.0,,
GLUCOSE 6 PHOSPHATE DEHYDROGENASE (G6PD QUANTITATIVE),T137,Reticulocyte Count,%,0.5,2.0,,
GLUCOSE 6 PHOSPHATE DEHYDROGENASE (G6PD QUANTITATIVE),T137,Sample Processing Time,minutes,,60.0,,
GLUCOSE CHALLENGE TEST (GCT),T138,Glucose Challenge Test (GCT),mg/dL,70.0,140.0,,
GLUCOSE TOLERANCE TEST (GTT),T139,Glucose Fasting,mg/dL,70.0,100.0,,
GLUCOSE TOLERANCE TEST (GTT),T139,Glucose 1 hr,mg/dL,70.0,140.0,,
GLUCOSE TOLERANCE TEST (GTT),T139,Glucose 2 hr,mg/dL,70.0,140.0,,
GLUCOSE TOLERANCE TEST ORAL (OGTT),T140,Glucose Fasting,mg/dL,70.0,100.0,,
GLUCOSE TOLERANCE TEST ORAL (OGTT),T140,Glucose Post Load,mg/dL,70.0,140.0,,
HEPATITIS B VIRUS DNA DETECTOR QUALITATIVE,T158,HBV DNA,,,,,
HEPATITIS B VIRUS ENVELOPE ANTIBODY (HBeAb),T159,HBeAb-IgM,,,1.0,,
HEPATITIS B VIRUS ENVELOPE ANTIGEN (HBeAg),T160,HBeAg,,,1.0,,
HEPATITIS C VIRUS (HCV) ELISA,T162,HCV ELISA,,,0.9,,
HEPATITIS E VIRUS - IGM (HEV IGM),T163,Hepatitis E Virus (HEV IgM),S/CO,,1.0,,
HERPES SIMPLEX VIRUS 1 & 2 IGM,T002,HSV 1 & 2 IgG,Index,,0.8,,
HERPES SIMPLEX VIRUS 1 & 2 IGM,T002,HSV 1 & 2 IgM,Index,,0.8,,
HIV (I) PCR REPORT - QUANTITATIVE,T003,HIV-1 RNA (Quantitative NASBA PCR),Copies/ml,,,,
HIV 1-DNA PCR - QUALITATIVE,T004,HIV-1 DNA,,,,,
HLA - B 27 FLOWCYTOMETRY,T168,HLA-B27,,,,,
HLA - B 27 PCR,T169,HLA-B27 (Real Time PCR),,,,,
HMPV RTPCR TEST,T170,Cycle Threshold (Ct) Value,CT,25.0,35.0,,
HMPV RTPCR TEST,T170,Detection Limit,copies/mL,10.0,100.0,,
HMPV RTPCR TEST,T170,HMPV RTPCR Result,,,,,
HOMOCYSTEINE TEST,T172,Homocysteine,umol/L,5.46,16.2,,
HPLC TEST,T173,Hemoglobin,g/dL,12.0,16.0,,
HPLC TEST,T173,Hematocrit,%,36.0,46.0,,
HPLC TEST,T173,RBC Count,10^6/uL,3.8,4.8,,
HPLC TEST,T173,MCV,fL,83.0,101.0,,
HPLC TEST,T173,MCH,pg,26.0,34.0,,
HPLC TEST,T173,MCHC,g/dL,31.5,34.5,,
HPLC TEST,T173,RDW-CV,%,11.6,14.5,,
HPLC TEST,T173,Hemoglobin-F,%,,,,
HPLC TEST,T173,Hemoglobin A0,%,,,,
HPLC TEST,T173,Hemoglobin A2,%,,,,
HPLC TEST,T173,Hemoglobin S,,,,,
HPLC TEST,T173,Other,%,,,,
HPLC TEST,T173,Impression,,,,,
HYDROXY VITAMIN D - SERUM,T174,Vitamin D (25-OH),ng/mL,30.0,100.0,,
IMMUNOGLOBULIN IGM,T175,Immunoglobulin IgM,mg/dL,40.0,230.0,,
INDIRECT COOMBS TEST (ICT),T176,Indirect Coombs Test (ICT),,,,,
IRON,T177,Iron (Adults),mg/dl,60.0,180.0,,
IRON (FE),T178,Iron - Male,ug/dl,65.0,175.0,,
IRON (FE),T178,Iron - Female,ug/dl,59.0,158.0,,
IRON PROFILE TEST,T179,Iron,μg/dL,65.0,175.0,,
IRON PROFILE TEST,T179,UIBC,μg/dL,110.0,370.0,,
IRON PROFILE TEST,T179,TIBC,μg/dL,228.0,428.0,,
IRON PROFILE TEST,T179,% Saturation,%,20.0,50.0,,
IRON PROFILE TEST,T179,Transferrin,mg/dL,176.0,280.0,,
KARYOTYPING (PERIPHERAL BLOOD),T180,Result,,,,,
KIDNEY FUNCTION TEST (KFT),T181,Blood Urea,mg/dL,12.6,42.6,,
KIDNEY FUNCTION TEST (KFT),T181,Serum Creatinine,mg/dL,0.7,1.5,,
KIDNEY FUNCTION TEST (KFT),T181,Serum Uric Acid,mg/dL,2.5,7.0,,
